-1221664672 function calls (-1221699469 primitive calls) in 3181.945 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      706    0.001    0.000    0.042    0.000 inspect.py:3067(from_callable)
  774/706    0.007    0.000    0.041    0.000 inspect.py:2463(_signature_from_callable)
        1    0.000    0.000    0.041    0.041 _index_tricks_impl.py:1(<module>)
      617    0.001    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:1201(path_stats)
     3485    0.008    0.000    0.039    0.000 learner.py:16(memoize)
       12    0.000    0.000    0.038    0.003 _docstring.py:79(__missing__)
     2172    0.014    0.000    0.037    0.000 teacher.py:541(less_than)
     4287    0.018    0.000    0.036    0.000 functools.py:35(update_wrapper)
        2    0.000    0.000    0.035    0.017 core.py:206(read_style_directory)
        1    0.000    0.000    0.035    0.035 defmatrix.py:1(<module>)
   110992    0.034    0.000    0.035    0.000 {built-in method builtins.getattr}
      976    0.001    0.000    0.034    0.000 __init__.py:728(__setitem__)
        1    0.000    0.000    0.034    0.034 font_manager.py:1(<module>)
     1234    0.005    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:481(cache_from_source)
       94    0.002    0.000    0.032    0.000 __init__.py:1412(_preprocess_data)
        1    0.000    0.000    0.032    0.032 axis.py:1(<module>)
      222    0.001    0.000    0.032    0.000 _parser.py:962(parse)
        1    0.000    0.000    0.031    0.031 image.py:1(<module>)
     9688    0.031    0.000    0.031    0.000 {method 'search' of 're.Pattern' objects}
  464/222    0.001    0.000    0.030    0.000 _parser.py:445(_parse_sub)
        1    0.000    0.000    0.030    0.030 _linalg.py:1(<module>)
        1    0.000    0.000    0.030    0.030 textpath.py:1(<module>)
      667    0.029    0.000    0.029    0.000 {method '__exit__' of '_io._IOBase' objects}
  523/248    0.011    0.000    0.029    0.000 _parser.py:505(_parse)
      692    0.010    0.000    0.029    0.000 inspect.py:2368(_signature_from_function)
        2    0.000    0.000    0.029    0.014 backends.py:212(_get_backends)
        2    0.000    0.000    0.029    0.014 __init__.py:900(entry_points)
       78    0.000    0.000    0.028    0.000 __init__.py:909(<genexpr>)
        8    0.000    0.000    0.028    0.004 __init__.py:73(import_module)
        8    0.000    0.000    0.028    0.003 <frozen importlib._bootstrap>:1369(_gcd_import)
    86370    0.028    0.000    0.028    0.000 {method 'lstrip' of 'str' objects}
      115    0.025    0.000    0.027    0.000 {built-in method _io.open}
      685    0.003    0.000    0.027    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     1435    0.008    0.000    0.027    0.000 <frozen importlib._bootstrap>:304(acquire)
     1289    0.011    0.000    0.026    0.000 backends.py:327(__new__)
      440    0.026    0.000    0.026    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.026    0.026 __init__.py:257(_check_versions)
     6070    0.014    0.000    0.025    0.000 inspect.py:2729(__init__)
      698    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.022    0.022 mathtext.py:1(<module>)
        1    0.000    0.000    0.022    0.022 offsetbox.py:1(<module>)
     1283    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap>:632(cached)
       64    0.000    0.000    0.021    0.000 __init__.py:226(compile)
      447    0.001    0.000    0.021    0.000 artist.py:1536(number_of_parameters)
        1    0.000    0.000    0.020    0.020 npyio.py:1(<module>)
      666    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:610(_get_cached)
        1    0.000    0.000    0.020    0.020 category.py:1(<module>)
